year,itl22cd,nc_year,projected_proportion_continuing
2030,TLD7,year_group_11,0.989829549026059
2031,TLD7,year_group_11,0.989829549026059
2032,TLD7,year_group_11,0.989829549026059
2023,TLE1,year_group_11,0.987368981942543
2024,TLE1,year_group_11,0.987368981942543
2025,TLE1,year_group_11,0.987368981942543
2026,TLE1,year_group_11,0.987368981942543
2027,TLE1,year_group_11,0.987368981942543
2028,TLE1,year_group_11,0.987368981942543
2029,TLE1,year_group_11,0.987368981942543
2030,TLE1,year_group_11,0.987368981942543
2031,TLE1,year_group_11,0.987368981942543
2032,TLE1,year_group_11,0.987368981942543
2023,TLE2,year_group_11,0.992523354274702
2024,TLE2,year_group_11,0.992523354274702
2025,TLE2,year_group_11,0.992523354274702
2026,TLE2,year_group_11,0.992523354274702
2027,TLE2,year_group_11,0.992523354274702
2028,TLE2,year_group_11,0.992523354274702
2029,TLE2,year_group_11,0.992523354274702
2030,TLE2,year_group_11,0.992523354274702
2031,TLE2,year_group_11,0.992523354274702
2032,TLE2,year_group_11,0.992523354274702
2023,TLE3,year_group_11,0.994524655810465
2024,TLE3,year_group_11,0.994524655810465
2025,TLE3,year_group_11,0.994524655810465
2026,TLE3,year_group_11,0.994524655810465
2027,TLE3,year_group_11,0.994524655810465
2028,TLE3,year_group_11,0.994524655810465
2029,TLE3,year_group_11,0.994524655810465
2030,TLE3,year_group_11,0.994524655810465
2031,TLE3,year_group_11,0.994524655810465
2032,TLE3,year_group_11,0.994524655810465
2023,TLE4,year_group_11,0.997439571017158
2024,TLE4,year_group_11,0.997439571017158
2025,TLE4,year_group_11,0.997439571017158
2026,TLE4,year_group_11,0.997439571017158
2027,TLE4,year_group_11,0.997439571017158
2028,TLE4,year_group_11,0.997439571017158
2029,TLE4,year_group_11,0.997439571017158
2030,TLE4,year_group_11,0.997439571017158
2031,TLE4,year_group_11,0.997439571017158
2032,TLE4,year_group_11,0.997439571017158
2023,TLF1,year_group_11,0.995388243031106
2024,TLF1,year_group_11,0.995388243031106
2025,TLF1,year_group_11,0.995388243031106
2026,TLF1,year_group_11,0.995388243031106
2027,TLF1,year_group_11,0.995388243031106
2028,TLF1,year_group_11,0.995388243031106
2029,TLF1,year_group_11,0.995388243031106
2030,TLF1,year_group_11,0.995388243031106
2031,TLF1,year_group_11,0.995388243031106
2032,TLF1,year_group_11,0.995388243031106
2023,TLF2,year_group_11,0.99839254871072
2024,TLF2,year_group_11,0.99839254871072
