year,itl22cd,nc_year,headcount,previous_headcount,proportion_continuing
2014,TLD6,year_group_4,9863,9865,0.999797263051191
2014,TLD6,year_group_5,9773,9738,1.00359416718012
2014,TLD6,year_group_6,9570,9573,0.999686618614854
2014,TLD6,year_group_7,9298,9221,1.0083505042837
2014,TLD6,year_group_8,9103,9048,1.00607869142352
2014,TLD6,year_group_9,9123,9113,1.00109733347964
2015,TLD6,year_group_1,10632,10515,1.01112696148359
2015,TLD6,year_group_10,9191,9123,1.00745368847967
2015,TLD6,year_group_11,9453,9487,0.996416148413619
2015,TLD6,year_group_12,4028,9847,0.409058596526861
2015,TLD6,year_group_13,3384,4223,0.801326071513142
2015,TLD6,year_group_14,21,3416,0.00614754098360656
2015,TLD6,year_group_2,10371,10280,1.00885214007782
2015,TLD6,year_group_3,10619,10634,0.998589430129772
2015,TLD6,year_group_4,10182,10131,1.00503405389399
2015,TLD6,year_group_5,9864,9863,1.00010138902971
2015,TLD6,year_group_6,9818,9773,1.00460452266448
2015,TLD6,year_group_7,9585,9570,1.00156739811912
2015,TLD6,year_group_8,9349,9298,1.00548505054851
2015,TLD6,year_group_9,9137,9103,1.0037350324069
2016,TLD6,year_group_1,10784,10681,1.00964329182661
2016,TLD6,year_group_10,9181,9137,1.00481558498413
2016,TLD6,year_group_11,9134,9191,0.993798280926994
2016,TLD6,year_group_12,3824,9453,0.404527663175711
2016,TLD6,year_group_13,3397,4028,0.843346573982125
2016,TLD6,year_group_14,28,3384,0.008274231678487
2016,TLD6,year_group_2,10680,10632,1.00451467268623
2016,TLD6,year_group_3,10438,10371,1.00646032205188
2016,TLD6,year_group_4,10689,10619,1.00659195781147
2016,TLD6,year_group_5,10238,10182,1.00549990178747
2016,TLD6,year_group_6,9885,9864,1.00212895377129
2016,TLD6,year_group_7,9910,9818,1.00937054389896
2016,TLD6,year_group_8,9595,9585,1.00104329681794
2016,TLD6,year_group_9,9389,9349,1.00427853246337
2017,TLD6,year_group_1,10845,10726,1.01109453663994
2017,TLD6,year_group_10,9488,9389,1.01054425391415
2017,TLD6,year_group_11,9093,9181,0.990414987474131
2017,TLD6,year_group_12,3618,9134,0.396102474271951
