year,itl22cd,mean_projection,upper_pi,lower_pi
2028,TLD1,4209.3021155166,4502.58520659914,3872.03181604508
2029,TLD1,4220.49247227302,4543.26246505647,3842.28465110186
2030,TLD1,3946.49958216168,4271.85980932609,3562.70112846164
2031,TLD1,3894.80709002867,4250.06866525514,3490.59845996394
2032,TLD1,3862.4318578959,4241.80827448514,3436.58647193175
2023,TLF3,8136.72382019283,8488.94539717249,7813.15430375802
2024,TLF3,8024.69124133702,8555.38511648826,7639.61908156856
2025,TLF3,7981.2942908392,8670.78031136414,7473.12763043195
2026,TLF3,7843.59625912909,8624.27968329433,7266.90357430288
2027,TLF3,7646.54702126483,8545.43701309914,6978.11819488186
2028,TLF3,6948.93209984312,7908.60130169512,6315.02975711054
2029,TLF3,6453.37377223469,7441.91181266453,5816.39871958518
2030,TLF3,6141.91126654221,7195.92161365533,5490.3358069283
2031,TLF3,5822.04311559741,6907.64047116488,5156.27599961409
2032,TLF3,5727.23560802045,6889.61942110274,5023.69899244017
2023,TLD3,36900.0518350703,37605.5416227208,36184.7047108308
2024,TLD3,36810.1811863764,37678.3086916627,35935.2617044798
2025,TLD3,36119.5788285525,37088.1023172206,35084.7653942413
2026,TLD3,35251.000289076,36456.0180619663,33993.7176326572
2027,TLD3,34254.6115602605,35793.3499772576,32850.884242896
2028,TLD3,31616.3587362882,33148.4392135792,30188.595548047
2029,TLD3,30661.8181319741,32281.6418987666,29178.0773394602
2030,TLD3,29428.2732967167,31138.8255478477,27889.6639252692
2031,TLD3,27803.5776936168,29545.9806340849,26233.0435432507
2032,TLD3,28088.0138812319,29969.3747320583,26384.6787233073
2023,TLE3,16472.0756979698,16826.9166678307,16107.9623011558
2024,TLE3,16353.1762827173,16807.192137855,15903.6401645167
2025,TLE3,15947.7789778904,16503.4074296698,15377.1978930129
2026,TLE3,15493.1431700479,16256.3983829744,14920.7010464595
2027,TLE3,15098.5027400978,16152.8051284892,14315.1546227395
2028,TLE3,14092.9811951322,15144.5631033342,13298.0275649875
2029,TLE3,13384.5572412755,14485.1214034421,12559.1122207478
2030,TLE3,12982.4983086573,14158.2822155359,12113.6534212469
2031,TLE3,12122.0699469589,13306.8451522322,11247.4895976027
2032,TLE3,12374.4092417907,13679.5891692433,11417.0353349022
2023,TLG3,39900.3879897322,40567.0211272996,38862.2948240095
2024,TLG3,39923.7815993647,40949.393292628,38541.103996985
2025,TLG3,39419.402770558,40819.3507537708,37646.1833887213
2026,TLG3,38491.4211795069,40249.7723265717,36364.5637938886
2027,TLG3,37540.7740582005,39668.4871954887,34947.3223746465
2028,TLG3,34937.6434457407,37258.1178616584,32296.7369159999
2029,TLG3,33273.7973074443,35723.9596288686,30541.5064592928
2030,TLG3,31805.9164488196,34414.0394963353,29067.8296536276
2031,TLG3,29982.2520269371,32660.6842685488,27220.6655704534
2032,TLG3,30007.1401777798,32929.9271127698,27063.8078618589
2023,TLE4,30171.8901655107,30741.5710065731,29713.4805666484
2024,TLE4,29966.5933999303,30763.5011950017,29264.6045845468
2025,TLE4,29364.1408280453,30247.4073680834,28444.9586793337
2026,TLE4,28580.481393699,29666.9246457964,27513.3264193405
2027,TLE4,27755.5545305534,29108.384715816,26491.9231995186
2028,TLE4,25627.2196351029,27019.3528883307,24298.346324685
2029,TLE4,24486.0608387716,25967.3581819372,23086.7762858402
2030,TLE4,23398.132655292,24936.9918066476,21942.0177100969
2031,TLE4,21820.1911808841,23370.5591057125,20341.2838746483
2032,TLE4,21700.8914964062,23357.6864644029,20122.6361429656
2023,TLI3,7234.59950490046,7358.75497872902,7040.66281441848
2024,TLI3,6923.7227344605,7151.50458329237,6646.94421667611
2025,TLI3,6564.31076985334,6836.23613342325,6268.91449017038
2026,TLI3,6187.52732850706,6502.73506688857,5853.87038686292
2027,TLI3,5849.00697435775,6195.11127124352,5470.86173889367
2028,TLI3,5446.3282567521,5818.25100768654,5056.45215985674
